MutantNo,Status
1,NOT_CONFIRMED
10,NOT_CONFIRMED
11,NOT_CONFIRMED
12,NOT_CONFIRMED
13,NOT_CONFIRMED
14,NOT_CONFIRMED
15,NOT_CONFIRMED
16,NOT_CONFIRMED
17,NOT_CONFIRMED
18,NOT_CONFIRMED
19,NOT_CONFIRMED
2,NOT_CONFIRMED
20,NOT_CONFIRMED
21,NOT_CONFIRMED
22,NOT_CONFIRMED
23,NOT_CONFIRMED
24,NOT_CONFIRMED
25,NOT_CONFIRMED
26,NOT_CONFIRMED
27,NOT_CONFIRMED
28,NOT_CONFIRMED
29,NOT_CONFIRMED
3,NOT_CONFIRMED
30,NOT_CONFIRMED
31,NOT_CONFIRMED
32,NOT_CONFIRMED
33,NOT_CONFIRMED
34,NOT_CONFIRMED
35,NOT_CONFIRMED
36,NOT_CONFIRMED
37,NOT_CONFIRMED
38,NOT_CONFIRMED
39,NOT_CONFIRMED
4,NOT_CONFIRMED
40,NOT_CONFIRMED
5,NOT_CONFIRMED
6,NOT_CONFIRMED
7,NOT_CONFIRMED
8,NOT_CONFIRMED
9,NOT_CONFIRMED
