1:AOR:-(int,int):%(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) % astPosition.get(b.getValue())
2:AOR:-(int,int):*(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) * astPosition.get(b.getValue())
3:AOR:-(int,int):+(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) + astPosition.get(b.getValue())
4:AOR:-(int,int):/(int,int):com.google.javascript.jscomp.ControlFlowAnalysis$1@compare(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>,com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):75:astPosition.get(a.getValue()) - astPosition.get(b.getValue()) |==> astPosition.get(a.getValue()) / astPosition.get(b.getValue())
5:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):150:this.root = root |==> <NO-OP>
6:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:0 |==> 1
7:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:0 |==> -1
8:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):151:astPositionCounter = 0 |==> <NO-OP>
9:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):152:astPosition = Maps.newHashMap() |==> <NO-OP>
10:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):153:nodePriorities = Maps.newHashMap() |==> <NO-OP>
11:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):154:cfg = new AstControlFlowGraph(computeFallThrough(root), nodePriorities, edgeAnnotations) |==> <NO-OP>
12:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):156:NodeTraversal.traverse(compiler, root, this) |==> <NO-OP>
13:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):157:astPosition.put(null, ++astPositionCounter) |==> <NO-OP>
14:LVR:0:POS:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:0 |==> 1
15:LVR:0:NEG:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:0 |==> -1
16:STD:<ASSIGN>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):161:priorityCounter = 0 |==> <NO-OP>
17:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):163:prioritizeFromEntryNode(entry) |==> <NO-OP>
18:COR:shouldTraverseFunctions:TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):165:shouldTraverseFunctions |==> false
19:COR:shouldTraverseFunctions:FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):165:shouldTraverseFunctions |==> true
20:ROR:!=(java.lang.Object,java.lang.Object):TRUE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:value != null |==> true
21:COR:&&(boolean,boolean):==(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:value != null && value.isFunction() |==> value != null == value.isFunction()
22:COR:&&(boolean,boolean):FALSE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:value != null && value.isFunction() |==> false
23:COR:&&(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:value != null && value.isFunction() |==> value != null
24:COR:&&(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):170:value != null && value.isFunction() |==> value.isFunction()
25:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:candidate == entry |==> false
26:COR:||(boolean,boolean):!=(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate) != (candidate == entry)
27:COR:||(boolean,boolean):LHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:!nodePriorities.containsKey(candidate) || candidate == entry |==> !nodePriorities.containsKey(candidate)
28:COR:||(boolean,boolean):RHS(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:!nodePriorities.containsKey(candidate) || candidate == entry |==> candidate == entry
29:COR:||(boolean,boolean):TRUE(boolean,boolean):com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):172:!nodePriorities.containsKey(candidate) || candidate == entry |==> true
30:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):171:Preconditions.checkState(!nodePriorities.containsKey(candidate) || candidate == entry) |==> <NO-OP>
31:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):173:prioritizeFromEntryNode(candidate) |==> <NO-OP>
32:COR:nodePriorities.containsKey(candidate):TRUE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):183:nodePriorities.containsKey(candidate) |==> false
33:COR:nodePriorities.containsKey(candidate):FALSE:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):183:nodePriorities.containsKey(candidate) |==> true
34:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):184:nodePriorities.put(candidate, ++priorityCounter) |==> <NO-OP>
35:STD:<CALL>:<NO-OP>:com.google.javascript.jscomp.ControlFlowAnalysis@process(com.google.javascript.rhino.Node,com.google.javascript.rhino.Node):189:nodePriorities.put(cfg.getImplicitReturn(), ++priorityCounter) |==> <NO-OP>
36:LVR:POS:0:com.google.javascript.jscomp.ControlFlowAnalysis@prioritizeFromEntryNode(com.google.javascript.jscomp.graph.DiGraph.DiGraphNode<com.google.javascript.rhino.Node,com.google.javascript.jscomp.ControlFlowGraph.Branch>):198:10 |==> 0
