TestNo,TestName
1,com.google.javascript.jscomp.jsonml.SecureCompilerTest
2,com.google.javascript.jscomp.SpecializeModuleTest$SpecializeModuleSpecializationStateTest
3,com.google.javascript.jscomp.UnfoldCompoundAssignmentsTest
4,com.google.javascript.jscomp.FunctionToBlockMutatorTest
5,com.google.javascript.jscomp.ExpressionDecomposerTest
6,com.google.javascript.jscomp.AliasKeywordsTest
7,com.google.javascript.jscomp.GatherRawExportsTest
8,com.google.javascript.jscomp.ConstCheckTest
9,com.google.javascript.jscomp.SpecializeModuleTest
10,com.google.javascript.jscomp.SanityCheckTest
11,com.google.javascript.jscomp.ShadowVariablesTest
12,com.google.javascript.jscomp.ExtractPrototypeMemberDeclarationsTest
13,com.google.javascript.jscomp.MakeDeclaredNamesUniqueTest
14,com.google.javascript.jscomp.RenamePrototypesTest
15,com.google.javascript.jscomp.CompilerTest
16,com.google.javascript.jscomp.CollapseAnonymousFunctionsTest
17,com.google.javascript.jscomp.RenameVarsTest
18,com.google.javascript.jscomp.PeepholeReplaceKnownMethodsTest
19,com.google.javascript.jscomp.CheckRequiresForConstructorsTest
20,com.google.javascript.jscomp.PeepholeIntegrationTest
21,com.google.javascript.jscomp.ReplaceStringsTest
22,com.google.javascript.jscomp.InlineObjectLiteralsTest
23,com.google.javascript.jscomp.FunctionInjectorTest
24,com.google.javascript.jscomp.InlineVariablesConstantsTest
25,com.google.javascript.jscomp.AliasExternalsTest
26,com.google.javascript.jscomp.NormalizeTest
27,com.google.javascript.jscomp.RenamePropertiesTest
28,com.google.javascript.jscomp.SymbolTableTest
29,com.google.javascript.jscomp.AmbiguatePropertiesTest
30,com.google.javascript.jscomp.RemoveUnusedVarsTest
31,com.google.javascript.jscomp.OptimizeParametersTest
32,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest
33,com.google.javascript.jscomp.InlineVariablesTest
34,com.google.javascript.jscomp.RuntimeTypeCheckTest
35,com.google.javascript.jscomp.CollapsePropertiesTest
36,com.google.javascript.jscomp.InlineFunctionsTest
37,com.google.javascript.jscomp.NameAnalyzerTest
38,com.google.javascript.jscomp.CommandLineRunnerTest
