MutantNo,Status
1,NOT_CONFIRMED
10,NOT_CONFIRMED
100,TCE_CONFIRMED
101,TCE_CONFIRMED
102,TCE_CONFIRMED
103,TCE_CONFIRMED
104,TCE_CONFIRMED
105,TCE_CONFIRMED
106,TCE_CONFIRMED
107,TCE_CONFIRMED
108,TCE_CONFIRMED
109,TCE_CONFIRMED
11,TCE_CONFIRMED
110,TCE_CONFIRMED
111,TCE_CONFIRMED
112,TCE_CONFIRMED
113,TCE_CONFIRMED
114,TCE_CONFIRMED
115,TCE_CONFIRMED
116,TCE_CONFIRMED
117,TCE_CONFIRMED
118,TCE_CONFIRMED
119,TCE_CONFIRMED
12,NOT_CONFIRMED
120,TCE_CONFIRMED
121,TCE_CONFIRMED
122,TCE_CONFIRMED
123,TCE_CONFIRMED
124,TCE_CONFIRMED
125,TCE_CONFIRMED
126,TCE_CONFIRMED
127,TCE_CONFIRMED
128,TCE_CONFIRMED
129,TCE_CONFIRMED
13,NOT_CONFIRMED
130,TCE_CONFIRMED
131,TCE_CONFIRMED
132,TCE_CONFIRMED
133,TCE_CONFIRMED
134,TCE_CONFIRMED
135,TCE_CONFIRMED
136,TCE_CONFIRMED
137,TCE_CONFIRMED
138,TCE_CONFIRMED
139,TCE_CONFIRMED
14,TCE_CONFIRMED
140,TCE_CONFIRMED
141,TCE_CONFIRMED
142,TCE_CONFIRMED
143,TCE_CONFIRMED
144,TCE_CONFIRMED
145,TCE_CONFIRMED
146,TCE_CONFIRMED
147,TCE_CONFIRMED
148,TCE_CONFIRMED
149,TCE_CONFIRMED
15,TCE_CONFIRMED
150,TCE_CONFIRMED
151,TCE_CONFIRMED
152,TCE_CONFIRMED
153,TCE_CONFIRMED
154,TCE_CONFIRMED
155,TCE_CONFIRMED
156,TCE_CONFIRMED
157,TCE_CONFIRMED
158,TCE_CONFIRMED
159,TCE_CONFIRMED
16,TCE_CONFIRMED
160,TCE_CONFIRMED
161,TCE_CONFIRMED
162,TCE_CONFIRMED
163,TCE_CONFIRMED
164,TCE_CONFIRMED
165,TCE_CONFIRMED
166,TCE_CONFIRMED
167,TCE_CONFIRMED
168,TCE_CONFIRMED
169,TCE_CONFIRMED
17,NOT_CONFIRMED
18,TCE_CONFIRMED
19,NOT_CONFIRMED
2,TCE_CONFIRMED
20,TCE_CONFIRMED
21,NOT_CONFIRMED
22,TCE_CONFIRMED
23,TCE_CONFIRMED
24,NOT_CONFIRMED
25,NOT_CONFIRMED
26,TCE_CONFIRMED
27,TCE_CONFIRMED
28,NOT_CONFIRMED
29,NOT_CONFIRMED
3,TCE_CONFIRMED
30,TCE_CONFIRMED
31,TCE_CONFIRMED
32,TCE_CONFIRMED
33,TCE_CONFIRMED
34,TCE_CONFIRMED
35,TCE_CONFIRMED
36,TCE_CONFIRMED
37,TCE_CONFIRMED
38,TCE_CONFIRMED
39,TCE_CONFIRMED
4,TCE_CONFIRMED
40,TCE_CONFIRMED
41,TCE_CONFIRMED
42,TCE_CONFIRMED
43,TCE_CONFIRMED
44,TCE_CONFIRMED
45,TCE_CONFIRMED
46,TCE_CONFIRMED
47,TCE_CONFIRMED
48,TCE_CONFIRMED
49,TCE_CONFIRMED
5,TCE_CONFIRMED
50,TCE_CONFIRMED
51,TCE_CONFIRMED
52,TCE_CONFIRMED
53,TCE_CONFIRMED
54,TCE_CONFIRMED
55,TCE_CONFIRMED
56,TCE_CONFIRMED
57,TCE_CONFIRMED
58,TCE_CONFIRMED
59,TCE_CONFIRMED
6,TCE_CONFIRMED
60,TCE_CONFIRMED
61,TCE_CONFIRMED
62,TCE_CONFIRMED
63,TCE_CONFIRMED
64,TCE_CONFIRMED
65,TCE_CONFIRMED
66,TCE_CONFIRMED
67,TCE_CONFIRMED
68,TCE_CONFIRMED
69,TCE_CONFIRMED
7,TCE_CONFIRMED
70,TCE_CONFIRMED
71,TCE_CONFIRMED
72,TCE_CONFIRMED
73,TCE_CONFIRMED
74,TCE_CONFIRMED
75,TCE_CONFIRMED
76,TCE_CONFIRMED
77,TCE_CONFIRMED
78,TCE_CONFIRMED
79,TCE_CONFIRMED
8,TCE_CONFIRMED
80,TCE_CONFIRMED
81,TCE_CONFIRMED
82,TCE_CONFIRMED
83,TCE_CONFIRMED
84,TCE_CONFIRMED
85,TCE_CONFIRMED
86,TCE_CONFIRMED
87,TCE_CONFIRMED
88,TCE_CONFIRMED
89,TCE_CONFIRMED
9,TCE_CONFIRMED
90,TCE_CONFIRMED
91,TCE_CONFIRMED
92,TCE_CONFIRMED
93,TCE_CONFIRMED
94,TCE_CONFIRMED
95,TCE_CONFIRMED
96,TCE_CONFIRMED
97,TCE_CONFIRMED
98,TCE_CONFIRMED
99,TCE_CONFIRMED
