MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,FAIL
4,EXC
5,FAIL
6,LIVE
7,EXC
8,LIVE
9,LIVE
10,FAIL
11,LIVE
12,FAIL
13,FAIL
14,LIVE
15,LIVE
16,LIVE
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,LIVE
22,LIVE
23,LIVE
24,LIVE
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,LIVE
31,EXC
32,EXC
33,FAIL
34,EXC
35,FAIL
36,LIVE
37,FAIL
38,FAIL
39,FAIL
40,LIVE
41,FAIL
42,FAIL
43,FAIL
44,EXC
45,EXC
46,FAIL
47,LIVE
48,FAIL
49,FAIL
50,EXC
51,EXC
52,EXC
53,FAIL
54,LIVE
55,FAIL
56,FAIL
57,EXC
58,EXC
59,FAIL
60,EXC
61,FAIL
62,EXC
63,LIVE
64,FAIL
65,EXC
66,LIVE
67,FAIL
68,EXC
69,EXC
70,LIVE
71,EXC
72,EXC
73,EXC
74,LIVE
75,FAIL
76,EXC
77,EXC
78,LIVE
79,LIVE
80,FAIL
81,EXC
82,EXC
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,LIVE
90,EXC
91,EXC
92,EXC
93,EXC
94,EXC
95,EXC
96,EXC
97,EXC
98,EXC
99,LIVE
100,LIVE
101,EXC
102,LIVE
103,LIVE
104,EXC
105,LIVE
106,EXC
107,EXC
108,LIVE
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,LIVE
115,FAIL
116,LIVE
118,EXC
119,LIVE
120,LIVE
121,FAIL
123,EXC
124,LIVE
125,FAIL
126,LIVE
127,FAIL
128,LIVE
129,EXC
130,LIVE
131,EXC
132,FAIL
133,LIVE
134,EXC
135,FAIL
138,FAIL
139,EXC
140,FAIL
141,FAIL
142,FAIL
143,TIME
144,EXC
145,EXC
146,LIVE
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,TIME
153,FAIL
154,EXC
155,FAIL
156,LIVE
157,EXC
158,FAIL
159,EXC
160,LIVE
161,LIVE
162,EXC
163,LIVE
164,FAIL
165,EXC
166,LIVE
167,FAIL
168,FAIL
