MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,EXC
52,EXC
53,EXC
54,EXC
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,LIVE
60,FAIL
61,LIVE
62,EXC
63,LIVE
64,LIVE
65,EXC
66,FAIL
67,LIVE
68,FAIL
69,LIVE
70,EXC
71,FAIL
72,EXC
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,EXC
78,FAIL
79,LIVE
80,EXC
81,FAIL
82,LIVE
83,LIVE
84,EXC
85,LIVE
86,FAIL
87,EXC
88,LIVE
89,EXC
90,EXC
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,EXC
114,EXC
115,FAIL
116,EXC
117,LIVE
118,FAIL
119,LIVE
120,FAIL
121,FAIL
122,EXC
123,EXC
124,FAIL
125,EXC
126,EXC
127,FAIL
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,LIVE
134,FAIL
135,EXC
136,FAIL
137,EXC
138,EXC
139,EXC
140,EXC
141,EXC
142,LIVE
143,FAIL
144,EXC
145,FAIL
146,EXC
147,FAIL
148,FAIL
149,EXC
150,FAIL
151,FAIL
152,EXC
153,FAIL
154,EXC
155,LIVE
156,LIVE
157,FAIL
158,LIVE
159,FAIL
160,LIVE
161,EXC
162,LIVE
163,LIVE
164,EXC
165,FAIL
166,LIVE
167,FAIL
168,LIVE
169,EXC
170,FAIL
171,FAIL
172,FAIL
173,FAIL
174,FAIL
175,FAIL
176,FAIL
177,FAIL
