MutantNo,Status
1,NOT_CONFIRMED
10,NOT_CONFIRMED
11,NOT_CONFIRMED
12,NOT_CONFIRMED
13,NOT_CONFIRMED
14,NOT_CONFIRMED
15,NOT_CONFIRMED
16,NOT_CONFIRMED
17,TCE_CONFIRMED
18,TCE_CONFIRMED
19,TCE_CONFIRMED
2,NOT_CONFIRMED
20,TCE_CONFIRMED
21,TCE_CONFIRMED
22,TCE_CONFIRMED
23,TCE_CONFIRMED
24,TCE_CONFIRMED
25,TCE_CONFIRMED
26,TCE_CONFIRMED
27,TCE_CONFIRMED
28,TCE_CONFIRMED
29,TCE_CONFIRMED
3,NOT_CONFIRMED
30,TCE_CONFIRMED
31,TCE_CONFIRMED
32,TCE_CONFIRMED
33,TCE_CONFIRMED
34,TCE_CONFIRMED
35,TCE_CONFIRMED
36,TCE_CONFIRMED
37,TCE_CONFIRMED
38,TCE_CONFIRMED
39,TCE_CONFIRMED
4,NOT_CONFIRMED
40,TCE_CONFIRMED
41,TCE_CONFIRMED
42,TCE_CONFIRMED
43,TCE_CONFIRMED
44,TCE_CONFIRMED
45,TCE_CONFIRMED
46,TCE_CONFIRMED
47,TCE_CONFIRMED
48,TCE_CONFIRMED
49,TCE_CONFIRMED
5,NOT_CONFIRMED
50,TCE_CONFIRMED
51,TCE_CONFIRMED
52,TCE_CONFIRMED
53,TCE_CONFIRMED
54,TCE_CONFIRMED
55,TCE_CONFIRMED
56,TCE_CONFIRMED
57,TCE_CONFIRMED
58,TCE_CONFIRMED
59,TCE_CONFIRMED
6,NOT_CONFIRMED
60,TCE_CONFIRMED
61,TCE_CONFIRMED
62,TCE_CONFIRMED
63,TCE_CONFIRMED
64,TCE_CONFIRMED
65,TCE_CONFIRMED
66,TCE_CONFIRMED
67,TCE_CONFIRMED
68,TCE_CONFIRMED
69,TCE_CONFIRMED
7,NOT_CONFIRMED
70,TCE_CONFIRMED
71,TCE_CONFIRMED
72,TCE_CONFIRMED
73,TCE_CONFIRMED
74,TCE_CONFIRMED
8,NOT_CONFIRMED
9,NOT_CONFIRMED
