MutantNo,Status
1,NOT_CONFIRMED
10,NOT_CONFIRMED
100,NOT_CONFIRMED
101,NOT_CONFIRMED
102,NOT_CONFIRMED
103,NOT_CONFIRMED
104,NOT_CONFIRMED
105,NOT_CONFIRMED
106,NOT_CONFIRMED
107,NOT_CONFIRMED
108,NOT_CONFIRMED
109,NOT_CONFIRMED
11,NOT_CONFIRMED
110,NOT_CONFIRMED
111,NOT_CONFIRMED
112,NOT_CONFIRMED
113,NOT_CONFIRMED
114,NOT_CONFIRMED
115,NOT_CONFIRMED
116,NOT_CONFIRMED
117,NOT_CONFIRMED
118,NOT_CONFIRMED
119,NOT_CONFIRMED
12,NOT_CONFIRMED
120,NOT_CONFIRMED
121,NOT_CONFIRMED
122,NOT_CONFIRMED
123,NOT_CONFIRMED
124,NOT_CONFIRMED
125,NOT_CONFIRMED
126,NOT_CONFIRMED
127,NOT_CONFIRMED
128,NOT_CONFIRMED
129,NOT_CONFIRMED
13,NOT_CONFIRMED
130,NOT_CONFIRMED
131,NOT_CONFIRMED
132,NOT_CONFIRMED
133,NOT_CONFIRMED
134,NOT_CONFIRMED
135,NOT_CONFIRMED
136,NOT_CONFIRMED
137,NOT_CONFIRMED
138,NOT_CONFIRMED
139,NOT_CONFIRMED
14,NOT_CONFIRMED
140,NOT_CONFIRMED
141,NOT_CONFIRMED
142,NOT_CONFIRMED
143,NOT_CONFIRMED
144,NOT_CONFIRMED
145,NOT_CONFIRMED
146,NOT_CONFIRMED
147,TCE_CONFIRMED
148,TCE_CONFIRMED
149,TCE_CONFIRMED
15,NOT_CONFIRMED
150,TCE_CONFIRMED
151,TCE_CONFIRMED
152,TCE_CONFIRMED
153,TCE_CONFIRMED
154,TCE_CONFIRMED
155,TCE_CONFIRMED
156,TCE_CONFIRMED
157,TCE_CONFIRMED
158,TCE_CONFIRMED
159,TCE_CONFIRMED
16,NOT_CONFIRMED
160,TCE_CONFIRMED
161,TCE_CONFIRMED
162,TCE_CONFIRMED
163,TCE_CONFIRMED
17,NOT_CONFIRMED
18,NOT_CONFIRMED
19,NOT_CONFIRMED
2,NOT_CONFIRMED
20,NOT_CONFIRMED
21,NOT_CONFIRMED
22,NOT_CONFIRMED
23,NOT_CONFIRMED
24,NOT_CONFIRMED
25,NOT_CONFIRMED
26,NOT_CONFIRMED
27,NOT_CONFIRMED
28,NOT_CONFIRMED
29,NOT_CONFIRMED
3,NOT_CONFIRMED
30,NOT_CONFIRMED
31,NOT_CONFIRMED
32,NOT_CONFIRMED
33,NOT_CONFIRMED
34,NOT_CONFIRMED
35,NOT_CONFIRMED
36,NOT_CONFIRMED
37,NOT_CONFIRMED
38,NOT_CONFIRMED
39,NOT_CONFIRMED
4,NOT_CONFIRMED
40,NOT_CONFIRMED
41,NOT_CONFIRMED
42,NOT_CONFIRMED
43,NOT_CONFIRMED
44,NOT_CONFIRMED
45,NOT_CONFIRMED
46,NOT_CONFIRMED
47,NOT_CONFIRMED
48,NOT_CONFIRMED
49,NOT_CONFIRMED
5,NOT_CONFIRMED
50,NOT_CONFIRMED
51,NOT_CONFIRMED
52,NOT_CONFIRMED
53,NOT_CONFIRMED
54,NOT_CONFIRMED
55,NOT_CONFIRMED
56,NOT_CONFIRMED
57,NOT_CONFIRMED
58,NOT_CONFIRMED
59,NOT_CONFIRMED
6,NOT_CONFIRMED
60,NOT_CONFIRMED
61,NOT_CONFIRMED
62,NOT_CONFIRMED
63,NOT_CONFIRMED
64,NOT_CONFIRMED
65,NOT_CONFIRMED
66,NOT_CONFIRMED
67,NOT_CONFIRMED
68,NOT_CONFIRMED
69,NOT_CONFIRMED
7,NOT_CONFIRMED
70,NOT_CONFIRMED
71,NOT_CONFIRMED
72,NOT_CONFIRMED
73,NOT_CONFIRMED
74,NOT_CONFIRMED
75,NOT_CONFIRMED
76,NOT_CONFIRMED
77,NOT_CONFIRMED
78,NOT_CONFIRMED
79,NOT_CONFIRMED
8,NOT_CONFIRMED
80,NOT_CONFIRMED
81,NOT_CONFIRMED
82,NOT_CONFIRMED
83,NOT_CONFIRMED
84,NOT_CONFIRMED
85,NOT_CONFIRMED
86,NOT_CONFIRMED
87,NOT_CONFIRMED
88,NOT_CONFIRMED
89,NOT_CONFIRMED
9,NOT_CONFIRMED
90,NOT_CONFIRMED
91,NOT_CONFIRMED
92,NOT_CONFIRMED
93,NOT_CONFIRMED
94,NOT_CONFIRMED
95,NOT_CONFIRMED
96,NOT_CONFIRMED
97,NOT_CONFIRMED
98,NOT_CONFIRMED
99,NOT_CONFIRMED
