MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,EXC
3,TIME
4,FAIL
5,FAIL
6,FAIL
7,LIVE
8,LIVE
9,LIVE
10,FAIL
11,LIVE
12,FAIL
13,LIVE
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,LIVE
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,EXC
26,EXC
27,FAIL
28,LIVE
29,EXC
30,FAIL
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,FAIL
38,FAIL
39,FAIL
40,EXC
41,FAIL
42,EXC
43,FAIL
44,FAIL
45,FAIL
46,FAIL
47,FAIL
48,EXC
49,EXC
50,FAIL
51,FAIL
52,EXC
53,LIVE
54,LIVE
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,LIVE
60,LIVE
61,LIVE
62,LIVE
63,LIVE
64,LIVE
65,LIVE
66,LIVE
67,FAIL
68,LIVE
69,LIVE
70,FAIL
76,FAIL
77,EXC
78,EXC
79,FAIL
80,FAIL
81,EXC
82,LIVE
83,LIVE
84,LIVE
85,LIVE
86,FAIL
87,LIVE
88,LIVE
96,LIVE
97,LIVE
98,LIVE
99,FAIL
105,FAIL
106,EXC
107,EXC
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,FAIL
115,LIVE
116,EXC
117,FAIL
118,LIVE
119,FAIL
120,FAIL
121,LIVE
122,LIVE
123,FAIL
124,FAIL
125,LIVE
126,FAIL
127,FAIL
128,FAIL
129,EXC
130,LIVE
131,LIVE
132,EXC
133,LIVE
134,LIVE
135,LIVE
136,EXC
137,FAIL
138,FAIL
139,LIVE
140,LIVE
141,LIVE
142,LIVE
143,LIVE
144,FAIL
145,EXC
146,LIVE
147,LIVE
148,EXC
149,LIVE
150,LIVE
151,LIVE
152,EXC
153,LIVE
154,FAIL
155,EXC
156,FAIL
157,LIVE
158,FAIL
162,LIVE
163,FAIL
164,FAIL
165,EXC
166,LIVE
167,LIVE
168,EXC
169,LIVE
170,LIVE
171,LIVE
172,EXC
173,FAIL
174,FAIL
175,EXC
176,EXC
177,FAIL
178,EXC
179,FAIL
180,FAIL
181,LIVE
182,FAIL
183,FAIL
184,FAIL
185,LIVE
186,LIVE
187,LIVE
188,LIVE
189,LIVE
190,FAIL
191,EXC
192,LIVE
193,LIVE
194,EXC
195,LIVE
196,LIVE
197,LIVE
198,EXC
199,LIVE
200,LIVE
201,LIVE
202,EXC
203,FAIL
204,LIVE
205,FAIL
206,FAIL
207,LIVE
208,LIVE
209,FAIL
210,LIVE
211,LIVE
212,LIVE
213,LIVE
214,EXC
215,EXC
216,EXC
217,FAIL
218,FAIL
219,FAIL
